Enseigne;sycron;anabel;adresse;cp;villes;telephone;serveur;caisse;Type caisse;Msge;NCR;DN;Trt sco
BIO\2162 PARIS 29 DIDEROT;2162;6282;29 BOULEVARD DIDEROT;75012;PARIS;33140191113;KO;KO;KO;#REF!;;;
BIO\2715 PARIS PARADIS;2715;2957;6 RUE DU PARADIS;75010;PARIS;33142260862;KO;KO;KO;#REF!;;;
BIO\2948 BORDEAUX JUIN;2948;3640;36 BIS COURS MARECHAL JUIN;33000;BORDEAUX;33983258907;LV2;03K_WI2;S2;#REF!;;;
BIO\3188 LILLE GAMBETTA;3188;6709;73 RUE GAMBETTA;59000;LILLE;;KO;KO;KO;#REF!;;;
BIO\3322 ASNIERES VOLTAIRE;3322;1893;92 BOULEVARD VOLTAIRE;92600;ASNIERES SUR SEINE;;KO;KO;KO;#REF!;;;
BIO\3338 BORDEAUX SAINT GEORGES;3338;;49 RUE DU PAS ST-GEORGES;33000;BORDEAUX;33557603879;LV2;02K_WI2;S2;#REF!;;;
BIO\3343 TOULOUSE LANGUEDOC;3343;169;39 RUE DU LANGUEDOC;31000;TOULOUSE;33562271332;KO;KO;KO;#REF!;;;
BIO\3465 NANCY 3 MAISONS ;3465;3589;47 Rue du Fbg 3 maisons;54000;NANCY;;KO;KO;KO;#REF!;;;
BIO\3485 NEUILLY PONT;3485;3544;25 rue du pont;92200;NEUILLY SUR SEINE;;KO;KO;KO;#REF!;;;
BIO\3487 PARIS VAUVENARGUES;3487;3588;17 rue Vauvenargues;75018;PARIS;33140799999;KO;KO;KO;#REF!;;;
BIO\3489 NICE BAPTISTE;3489;3516;30 Avenue St Jean Baptiste;6000;NICE;33493543587;KO;KO;KO;#REF!;;;
BIO\3540 LE BOUSCAT;3540;3689;18 AV DE LA LIBÉRATION CHARLES DE GAULLE;33110;LE BOUSCAT;33556791158;KO;KO;KO;#REF!;;;
BIO\3543 PARIS TURBIGO;3543;3743;42 RUE TURBIGO;75003;PARIS;33148427135;LV2;02K_WI2_2SCO-NCR;S2;#REF!;NCR;;NCR
BON APP\2372 PARIS TEMPLE;2372;1543;31 RUE DU TEMPLE;75004;PARIS;33140331334;LV3;02K_WI2;S2;#REF!;;;
BON APP\3212 NICE JAURES 48;3212;6884;48 BOULEVARD JEAN JAURES;6000;NICE;;KO;KO;KO;#REF!;;;
BON APP\3263 PARIS RAMBUTEAU 77;3263;9154;77 RUE DE RAMBUTEAU;75001;PARIS;33140284663;LV3;02K_WI2;S2;#REF!;;;
BON APP\3398 PARIS MONTPARNASSE;3398;;17 BOULEVARD DE VAUGIRARD;75015;PARIS;;KO;KO;KO;#REF!;;;
CITY\0010 BILLERE;10;7436;AVENUE LALANNE;64140;BILLERE;33559326590;LV1;03K_WI2;S2;#REF!;;;
CITY\0013 BOULOGNE BILLANCOURT;13;7173;3 BIS BOULEVARD JEAN JAURES;92100;BOULOGNE BILLANCOURT;33146053628;LV4;06K_WI2_2SCO-NCR_BENZ;S2;#REF!;NCR;;NCR
CITY\0014 TOULOUSE SAINT JEAN;14;7376;ALLEE VICTOR HUGO;31240;TOULOUSE;33561740865;LV1;03K_WM3;M3;#REF!;;;
