MOT CLe;Description;cat3;cat1;cat2;CATEGORISATION;Service Libelle d'affichage / Impactant;Causalite;Tag+E:ED:IJ30F:IC:IB:I;SUPPORT;PRIORISATION;CAS;Autonomie;DATE CREATION;PM;Msg spe;Lien;POPUP ajout;Mess_axis;Impacté;Categorisation Service impacte ;KM;GROUPE EXPERT
24/24 : COUPURE ELECTRIQUE;Caisse en 24/24 ==> COUPURE ELECTRIQUE;Coupure electrique;Encaissement;Caisse deconnecte;Encaissement \ Caisse deconnecte \ Coupure electrique;COUPURE ELECTRIQUE-FR;02 - Défaillance de l'infrastructure;INFRA;"Verification du serveur : Ajout capture écran
- Redemarrage si necessaire
- Verification VM1 / VM2
- Demarrage des caisses
- Si 24/24 :
1.Depart
2.Coupure
3.Quitter
4.Chargement long
====>Prendre l'horodatage de la création du modeautonome.flag et regarder dans le basecais correspondant, l'indiquer dans le CARE.";P1;SYM0001; ; ; ;Msg spe 2;http://sym-90065/encaissement/PRODIM/?q=49811487; ; ;VLP PROXI-FR;Encaissement \ Caisse deconnecte \ Coupure electrique;49811487; 
24/24  : Autres;Caisse en 24/24 ==> Autres causes;24/24;Encaissement;Caisse deconnecte;Encaissement \ Caisse deconnecte \ 24/24;INFRA_PROXIMITE-FR;02 - Défaillance de l'infrastructure;24/24;"Verification du serveur : Ajout capture écran
- Redemarrage si necessaire
- Verification VM1 / VM2
- Demarrage des caisses
- Si 24/24 :
1.Depart
2.Coupure
3.Quitter
4.Chargement long
====>Prendre l'horodatage de la création du modeautonome.flag et regarder dans le basecais correspondant, l'indiquer dans le CARE.";P4;SYM0002; ; ; ;Msg spe 2;http://sym-90065/encaissement/PRODIM/?q=49811488; ; ;VLP PROXI-FR;Encaissement \ Caisse deconnecte \ 24/24;49811487; 
ANNULATION TICKET;Demande annulation ticket;Edition;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Edition;VLP PROXI-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;fct 304 + numero ticket.;P4;SYM0003;A/U : Oui; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50320832; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Edition;50320832;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
CAISSE DECONNECTEE;Caisse deconnectee;Reseau;Encaissement;Caisse deconnecte;Encaissement \ Caisse deconnecte \ Reseau;INFRA_PROXIMITE-FR;02 - Défaillance de l'infrastructure;INFRA;Verification serveur : redemarrage au besoin si ko verification switch. Fct97.;P1;SYM0004; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=49953384; ; ;VLP PROXI-FR;Encaissement \ Caisse deconnecte \ Reseau;49953384; 
BSOD;BSOD;Parametrage caisse;Encaissement;Serveur caisse;Encaissement \ Serveur caisse \ Parametrage caisse;VLP PROXI-FR;05 - Demande de service;BSOD;Reboot de l'UC. Si au redemarrage le problème persiste il faut déclencher une DI;P4;SYM0005; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50330209; ; ;VLP PROXI-FR;Encaissement \ Serveur caisse \ Parametrage caisse;50330209;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
TPE BLOQUE ET NECESSITE UN REBOOT;Le TPE est bloque sur un message (Inserez carte , paiement accepte , retirez carte etc) et doit etre reboot pour fonctionner;Parametrage;Monetique;TPE;Monetique \ TPE \ Parametrage;AXIS-FR;08 - Matériel défectueux;MONETIQUE;Redemarrer le TPE avec les touches # + jaune;P3;SYM0006; ; ; ; ; ; ; ;AXIS-FR;Monetique \ TPE \ Parametrage;;FR IT CHAPSVISION N2 FRONT OFFICE PROXIMITE
TPE : Parametrage;TPE : Parametrage;Parametrage;Monetique;TPE;Monetique \ TPE \ Parametrage;AXIS-FR;07 - Indéterminée;MONETIQUE;j# +fct955 si KO : envoi WorldLine de dlog pour MCS;P3;SYM0007; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50333394; ;1;AXIS-FR;Monetique \ TPE \ Paiement Offline / Degrade;50333394; 
TPE :  message d'erreur Mode degrade;TPE :  message d'erreur Mode degrade;Paiement Offline / Degrade;Monetique;TPE;Monetique \ TPE \ Paiement Offline / Degrade;AXIS-FR;01 - Défaillance applicative;MONETIQUE;Vérifier le réseau du magasin et escalader si besoin. Faire une fonction 955 pour voir si il y a des transactions bloquées.;P3;SYM0008; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50333394; ;1;AXIS-FR;Monetique \ TPE \ Paiement Offline / Degrade;50333394; 
TPE : Un client a ete debite 2 fois (date / montant);TPE : Un client a ete debite 2 fois (date / montant);Financement;Monetique;E-portal;Monetique \ E-portal \ Financement;AXIS-FR;01 - Défaillance applicative;SERVICE UTILISATEUR;Verification sur Eportal : si ticket trouve impression imprimante bureau et justifier.;P4;SYM0009; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50334166; ;1;AXIS-FR;Monetique \ TPE \ Paiement Offline / Degrade;50334166; 
TPE : refus emetteur.;TPE : refus emetteur.; ;Monetique;Infra banque;Monetique \ TPE \ Paiement refuse;INFRA_BANQUE-FR;01 - Défaillance applicative;MONETIQUE;j# +fct955 si KO : envoi WorldLine de dlog pour MCS;P3;SYM0010; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50333394; ; ;AXIS-FR;Monetique \ TPE \ Paiement Offline / Degrade;50333394; 
TPE : affiche carte muette;TPE : affiche carte muette;Réparation / Remplacement;Materiel Caisse ;TPE classique;Materiel Caisse \ TPE classique \ Réparation / Remplacement;AXIS-FR;08 - Matériel défectueux;SERVICE UTILISATEUR;Nettoyage de l'insertion carte si KO DI;P4;SYM0013; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50331946; ; ;AXIS-FR;Monetique \ TPE \ Parametrage;50331946; 
TPE : Erreur ouverture TPE;TPE : Erreur ouverture TPE \ Programme non lances;TPE classique;Materiel ;Caisse;Materiel \ Caisse \ TPE classique;MATERIEL_CAISSE-FR;08 - Matériel défectueux;C3 KO;Lancement programme monetique (906);P3;SYM0014; ; ; ; ; ; ; ;MATERIEL_CAISSE-FR;Materiel Caisse \ TPE classique \ reparation / Remplacement;50334218; 
WorldLine : Verification des paiements CB (eportal);WorldLine : Verification des paiements CB (eportal); ;Monetique;Infra banque;Monetique \ E-portal \ Telecollecte;AXIS-FR;05 - Demande de service;SERVICE UTILISATEUR;Verification sur Eportal : si ticket trouve impression imprimante bureau et justifier.;P4;SYM0015; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=50818390; ; ;VLP PROXI-FR;Encaissement \ Chiffre d'affaire \ Ecart de CA;50818390; 
