MOT CLe;Description;cat3;cat1;cat2;CATEGORISATION;Service Libelle d'affichage / Impactant;Causalite;Tag+E:ED:IJ30F:IC:IB:I;SUPPORT;PRIORISATION;CAS;Autonomie;DATE CREATION;PM;Msg spe;Lien;POPUP ajout;Mess_axis;Impacté;Categorisation Service impacte ;KM;GROUPE EXPERT; 
SCO -IMP KO;SCO NCR : erreur imprimante 11-0-0-99--2 ;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Parametrage \ Imprimante;SCO NCR-FR;07 - Indéterminée;IMP KO;MATRICE SCO. Vérification des points : Problème réseau caiseau et Voyant SLIP allumé;P3;SYM1000; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Parametrage \ Imprimante;26731835; ; 
MATERIEL KO : SCO;SCO NCR :  ne demarre pas;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Ouverture;SCO NCR-FR;01 - Défaillance applicative;SERVICE UTILISATEUR;"Supprimer le caissier en erreur et recréer proprement avec le bon mdp
Après reboot du SCO , tester l'accès.";P3;SYM1001; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Ouverture;26731835; ; 
MATERIEL KO : SCO;SCO NCR :l'encaissement ne reagit plus ni en tactile ni en PMAD.;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Ouverture;SCO NCR-FR;01 - Défaillance applicative;SERVICE UTILISATEUR;MATRICE SCO;P3;SYM1002; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Ouverture;26731835; ; 
SCO - NCR - LOGICIEL;SCO NCR :Mise à jour au niveau des SCO , les SCO se sont reboot en plein encaissement;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Ouverture;SCO NCR-FR;07 - Indéterminée;SCO - NCR - LOGICIEL;recuperation des logs et envoi bannette NCR LOGICIEL;P3;SYM1003; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Ouverture;26731835; ; 
SCO : FIDELITe : Carte FID KO;SCO NCR :Demande la carte fidelite alors que le magasin n'en prend pas;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Ouverture;SCO NCR-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;recuperation des logs et envoi bannette NCR LOGICIEL;P3;SYM1004;A/U : Oui; ; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Ouverture;26731835; ; 
MATERIEL KO : SCO;SCO NCR :  les tickets ne s'impriment pas.;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Parametrage \ Imprimante;SCO NCR-FR;01 - Défaillance applicative;SCO;Reboot SCO, il y a une erreur imprimante. Corrige l'erreur si KO DI. Vérification des points : Problème réseau caiseau et Voyant SLIP allumé;P3;SYM1005; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Parametrage \ Imprimante;26731835; ; 
SCO - IMP KO;SCO NCR : Imprimante sco-ncr 25 KO - Code d'erreur 3-0-0--99-0 - Diode verte allumee;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Parametrage \ Imprimante;SCO NCR-FR;08 - Matériel défectueux;SCO - IMP KO;"Reset //Vérification des points : Problème réseau caiseau et Voyant SLIP allumé
Papier bien insere, bon rouleau de papier dejà contrôle par un tech lors d'un precedent passage
Reboot
Suppression caddruntime.dat + reboot - BSOD constate lors du reboot, si nok DI";P3;SYM1006; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Parametrage \ Imprimante;26731835; ; 
SCO - NCR - LOGICIEL : Message;SCO NCR :sur  'traitement en cours veuillez patienter.';Autre (logiciel);Encaissement;SCO;Caisse libre service \ Ouverture;SCO NCR-FR;04 - Manque de formation utilisateur;AUTONOMIE UTILISATEUR;Attendre la fin du traitement pensez reboot SCO au besoin;P3;SYM1007;A/U : Oui; ; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Ouverture;26731835; ; 
SCO - BSOD;SCO NCR : ecran bleu ;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Ouverture;SCO NCR-FR;01 - Défaillance applicative;SCO;Redemarrage si KO, verification des branchement ethernet si KO prise des log et esc SCO-NCR - LOGICIEL.;P3;SYM1008; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Ouverture;26731835; ; 
SCO - NCR - LOGICIEL;SCO NCR : le monnayeur avale les billets sans valider l'encaissement;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO;Reboot SCO, il y a une erreur imprimante. Corrige l'erreur si KO DI FR_IT_EDITEUR_N3_SCO_NCR_MATERIEL_ODM.;P3;SYM1009; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
SCO - NCR - LOGICIEL;SCO NCR : Tickets en attentes en sur des SCO et n'a pas eu les ticket pour les reprendre sur d'autres caisses . ;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Impression \ Ticket de caisse;SCO NCR-FR;01 - Défaillance applicative;SCO - NCR - LOGICIEL; ;P3;SYM1010; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Impression \ Ticket de caisse;26731835; ; 
SCO - NCR - MONNAYEUR;SCO NCR : le module cash billet de notre sco est hs.;Autre (logiciel);Encaissement;SCO;Caisse libre service \ Monnayeur;SCO NCR-FR;01 - Défaillance applicative;SCO;Reboot SCO, il y a une erreur imprimante. Corrige l'erreur si KO DI.;P3;SYM1011; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Monnayeur;26731835; ; 
MATERIEL KO : SCO;"SCO NCR : boucle de demande de connexion hotesse + ""Erreur imprimante ticket""";Autre (logiciel);Encaissement;SCO;Caisse libre service \ Parametrage \ Imprimante;SCO NCR-FR;08 - Matériel défectueux;SCO - NCR - MATERIEL KO;traiter l'erreur imprimante correspondant au code en se referant à la matrice.;P3;SYM1012; ; ; ; ;http://sym-90065/encaissement/PRODIM/?q=26731835; ; ;SCO NCR-FR;Caisse libre service \ Parametrage \ Imprimante;26731835; ; 
