Groupe materiel;Anomalie
HDD;HDD - IBM - Erreur disk
HDD;HDD - IBM - DD non détecté
HDD;HDD - IBM - endommagé
HDD;HDD - IBM - figé sur mode mainenance
HDD;HDD - IBM - figé sur missing file
HDD;HDD - M2 - Erreur disk
HDD;HDD - M2 - DD non détecté
HDD;HDD - M2 - endommagé
HDD;HDD - M2 - figé sur mode mainenance
HDD;HDD - M2 - figé sur missing file
HDD;HDD - S2 - Erreur disk
HDD;HDD - S2 - DD non détecté
HDD;HDD - S2 - endommagé
HDD;HDD - S2 - figé sur mode mainenance
HDD;HDD - S2 - figé sur missing file
HDD;HDD -M3 - Erreur disk
HDD;HDD - M3 - DD non détecté
HDD;HDD - M3 - endommagé
HDD;HDD - M3 - figé sur mode mainenance
HDD;HDD - M3 - figé sur missing file
HDD;HDD - E61 - Erreur disk
HDD;HDD - E61 - DD non détecté
HDD;HDD - E61 - endommagé
HDD;HDD - E61 - figé sur mode mainenance
HDD;HDD - E61- figé sur missing file
SERVEUR;SERVEUR - éteint / pas de ping / esxi KO
IMPRIMANTE;IMP - éteinte
IMPRIMANTE;IMP - couteau abimé
IMPRIMANTE;IMP - Voyant ERROR
IMPRIMANTE;IMP - Voyant PAPEROUT
IMPRIMANTE;IMP - Voyant SLIP 
IMPRIMANTE;IMP - Erreur Capot
IMPRIMANTE;IMP - bruits metaliques
SCANNER;SCANNER - eteint
SCANNER;SCANNER  - éteint / Pas de faisceau
BALANCE;"BALANCE - Cas H + ""---"""
BALANCE;BALANCE - éteinte
ECRAN;ECRAN - noir/éteint /No Input
ECRAN;ECRAN - Tactile KO
ECRAN;ECRAN - rétroéclairage HS 
ECRAN;ECRAN - M2 - cassé
ECRAN;ECRAN - M2 - Fissuré
ECRAN;ECRAN - M3 - Tactile KO
ECRAN;ECRAN - M3 - Support
ECRAN;ECRAN - S2 - noir/éteint /No Input
ECRAN;ECRAN - S2 - cassé
ECRAN;ECRAN - S2 - Fissuré
ECRAN;ECRAN - IBM - noir/éteint
ECRAN;ECRAN - IBM - cassé
ECRAN;ECRAN - IBM - Fissuré
ECRAN;ECRAN - IBM - Tactile KO
ECRAN;ECRAN - E61 - noir/éteint /No Input
ECRAN;ECRAN - E61 - cassé
ECRAN;ECRAN - E61 - Fissuré
TPE;TPE - Carte invalide
TPE;TPE - E61 - cassé
TPE;TPE - Alerte Irruption
TPE;TPE - Carte muette
TPE;TPE - Plateform SSC cassée
TPE;TPE - Erreur port série
TPE;TPE - éteint
DOUCHETTE;DOUCHETTE - éteinte
DOUCHETTE;DOUCHETTE - Pas de BIP, Parametrage KO
DOUCHETTE;DOUCHETTE  - câble abimé
TIROIR;TIROIR - E61 - absence d'ergo
TIROIR;TIROIR - E61  - Rendue monnaie défaillante
TIROIR;TIROIR - E61 - ne s'ouvre pas
TIROIR;TIROIR - IBM - absence d'ergo
TIROIR;TIROIR - IBM  - Rendue monnaie défaillante
TIROIR;TIROIR - IBM - ne s'ouvre pas
TIROIR;TIROIR - S/M - absence d'ergo
TIROIR;TIROIR - S/M  - Rendue monnaie défaillante
TIROIR;TIROIR - S/M - ne s'ouvre pas
VISEUR;VISEUR - M3 - noir/éteint
VISEUR;VISEUR - M3 - cassé
VISEUR;VISEUR - M3 - Fissuré
VISEUR;VISEUR - M3 - noir/éteint /No Input
VISEUR;VISEUR - M3 - câble abimé
